"CNY","EUR","JPY","GBP","CAD","AUD","G_USD"
8.2772,1.0752,106.24,1.6563,1.474,0.6561,318.5
8.2777,1.0786,106.55,1.6537,1.4815,0.647,322
8.2774,1.0784,107.33,1.6624,1.481,0.6493,313.5
8.2775,1.0896,105.55,1.6695,1.4873,0.6459,315.15
8.2774,1.0841,105.03,1.669,1.495,0.6445,311.5
8.2773,1.0835,105.23,1.6723,1.4912,0.6475,308.5
8.2774,1.0742,106.47,1.6639,1.4868,0.6464,305.55
8.2772,1.0817,105.97,1.6765,1.481,0.6481,304.95
8.2773,1.0668,105.9,1.6575,1.476,0.6487,302.4
8.277,1.0661,105.35,1.6633,1.4713,0.6517,298
8.2773,1.0585,104.65,1.6528,1.474,0.6502,288.75
8.2775,1.0503,104.07,1.6439,1.4716,0.6438,293.85
8.2776,1.0522,105.05,1.6387,1.4733,0.6451,299
8.2778,1.0545,104.21,1.6442,1.4707,0.6362,299.2
8.2779,1.0505,104.17,1.6413,1.4683,0.6404,290.25
8.2781,1.0514,103.74,1.6461,1.4682,0.6404,291.5
8.2781,1.0481,104.77,1.6442,1.4671,0.643,292.4
8.278,1.0359,104.85,1.6243,1.4622,0.6372,293
8.2779,1.0419,106.2,1.6205,1.4661,0.6383,290.5
8.2779,1.0386,105.11,1.6181,1.469,0.6371,289.75
8.278,1.039,104.89,1.623,1.4735,0.6382,292.8
8.2781,1.0453,104.59,1.627,1.4709,0.6408,298.25
8.2782,1.0414,104.88,1.6224,1.4654,0.6421,294
8.278,1.0318,105.14,1.6167,1.4627,0.6435,291.3
8.2781,1.0313,104.89,1.6213,1.4642,0.6459,291.5
8.2781,1.032,105.87,1.6183,1.4637,0.643,294.13
8.2781,1.0405,105.47,1.6251,1.4696,0.6392,294.35
8.2784,1.0291,105.95,1.6157,1.4648,0.6395,294.25
8.2785,1.0309,106.23,1.6185,1.4618,0.6388,295
8.2785,1.0314,104.75,1.6207,1.4618,0.6367,294.5
8.2784,1.0268,104.13,1.6243,1.4661,0.6357,297.9
8.2785,1.0175,104.55,1.6073,1.4643,0.6324,298.25
8.2785,1.0155,102.15,1.6075,1.4677,0.6349,297.12
8.2785,1.0101,102.13,1.6043,1.4744,0.6374,291
8.2789,1.0082,101.75,1.5985,1.473,0.6365,290.7
8.2789,1.0083,102.67,1.6004,1.4736,0.637,289.5
8.2788,1.0025,102.65,1.6003,1.4803,0.633,285
8.2787,1.0018,102.65,1.6012,1.479,0.6322,279.8
8.279,1.0219,103.17,1.6195,1.4733,0.6349,276.1
8.279,1.0247,102.33,1.6245,1.4749,0.6367,285.75
8.2795,1.0279,102.93,1.6274,1.4778,0.6374,281.95
8.2795,1.021,102.46,1.6267,1.4743,0.6394,277.88
8.2795,1.0118,102.38,1.6216,1.477,0.6368,278.95
8.2795,1.0137,103.17,1.6237,1.4791,0.6342,280.27
8.2794,1.005,103.47,1.6113,1.4799,0.6352,279.95
8.2794,1.0067,103.63,1.6053,1.4825,0.6355,282.77
8.2794,1.0164,103.05,1.6091,1.476,0.6419,281.95
8.2794,1.0079,103.16,1.6046,1.4783,0.6422,283.6
8.2796,1.0089,102.03,1.6113,1.4768,0.6438,287.48
8.2796,1.0089,101.47,1.6069,1.4762,0.6442,287.05
8.2795,1.0145,102.13,1.6167,1.4701,0.6448,286.95
8.2796,1.0128,102.25,1.6169,1.4589,0.645,287.75
8.2797,1.0058,102.23,1.6151,1.4478,0.6443,289.55
8.2793,1.0048,102.23,1.6173,1.4526,0.6518,290.45
8.2795,1.0088,102.45,1.6143,1.4528,0.653,288.05
8.2799,1.0295,103.01,1.6373,1.4513,0.6555,282.25
8.2798,1.0316,104.23,1.6425,1.448,0.6576,280
8.2797,1.0295,105.57,1.6471,1.459,0.6545,281.1
8.2794,1.028,105.2,1.6372,1.4558,0.6557,281.75
8.2794,1.0253,105.25,1.6367,1.4546,0.6565,281.48
8.2795,1.0324,106.03,1.6467,1.4556,0.6582,283.25
8.2796,1.0312,106.03,1.6468,1.4528,0.6579,282.35
8.2798,1.0253,106.09,1.6467,1.4494,0.6675,284.25
8.2797,1.0151,105.74,1.6374,1.4492,0.6656,284.2
8.2793,1.012,105.47,1.6387,1.4503,0.665,288.65
8.2797,1.012,105.33,1.6441,1.4521,0.6632,289.63
8.2794,1.0164,105.29,1.6541,1.4465,0.6656,288.5
8.2795,1.0097,104.9,1.6503,1.4384,0.663,289.1
8.2789,1.0039,105.54,1.6495,1.442,0.6537,287.6
8.2786,1.0013,105.91,1.6467,1.4365,0.6548,287.05
8.2782,1.0012,105.86,1.6381,1.4372,0.6516,286
8.2783,0.9881,104.83,1.6387,1.432,0.6545,286.85
8.2781,0.9771,107.03,1.6222,1.4435,0.6313,283.25
8.2779,0.9814,108.67,1.5871,1.4569,0.6272,308.15
8.2777,0.9813,108.84,1.596,1.4562,0.6293,301.75
8.2777,0.9862,109.21,1.6065,1.4541,0.6317,302.5
8.2772,0.9884,110.55,1.606,1.4518,0.6324,300.5
8.2772,0.9847,110.9,1.5976,1.4503,0.6292,305
8.2773,1.0046,110.56,1.6158,1.4625,0.6248,304.4
8.278,1.0025,111.26,1.6025,1.4613,0.6208,300
8.278,0.994,111.09,1.6003,1.4545,0.6158,298.5
8.2786,0.9741,110.27,1.5927,1.4486,0.6154,292.6
8.2786,0.9716,109.09,1.5934,1.4495,0.6133,291.75
8.2786,0.9662,109.81,1.5831,1.45,0.6182,292.2
8.2786,0.9748,106.88,1.5887,1.448,0.6055,289.75
8.2787,0.9663,107.86,1.5769,1.4562,0.607,288.5
8.2789,0.959,107.73,1.5813,1.4533,0.6082,288.8
8.2785,0.9588,107.46,1.5733,1.4523,0.602,287.63
8.2784,0.9568,106.12,1.5774,1.4537,0.6034,293.25
8.2786,0.9612,106.89,1.5818,1.4565,0.6098,288.13
8.2787,0.9677,106.53,1.5812,1.4574,0.6148,291.2
8.2785,0.9631,106.19,1.5798,1.4581,0.6141,289
8.2781,0.9645,105.56,1.5782,1.4612,0.6152,290.7
8.278,0.9667,105.19,1.577,1.4638,0.614,288.88
8.2778,0.9679,105.52,1.5727,1.4674,0.6125,288.85
8.2777,0.9711,105.59,1.5749,1.4743,0.6111,286.5
8.2785,0.9724,106.59,1.5718,1.4714,0.6063,284.6
8.2786,0.9731,106.34,1.5693,1.4694,0.6074,286.88
8.2783,0.9642,107.11,1.573,1.468,0.6099,289.63
8.2783,0.96,106.84,1.5772,1.4694,0.6045,287.88
8.2787,0.9716,107.34,1.5872,1.4682,0.6051,286.27
8.2789,0.9749,107.03,1.5929,1.4632,0.6079,285
8.2792,0.9653,106.65,1.5862,1.4604,0.6108,280.3
8.2795,0.9614,105.74,1.5887,1.4528,0.613,279.4
8.2789,0.9502,105.43,1.5956,1.4568,0.611,276.4
8.2788,0.9615,105.45,1.596,1.4541,0.6123,276.75
8.2787,0.9555,102.59,1.5935,1.4501,0.6075,279.08
8.2786,0.9575,104.81,1.5967,1.4511,0.6065,278.2
8.2791,0.9635,104.95,1.5991,1.4527,0.6056,284.45
8.2795,0.9626,105.01,1.5833,1.4497,0.606,281.5
8.2795,0.9596,104.83,1.5795,1.4514,0.6029,280.5
8.2795,0.9543,105.45,1.5812,1.4563,0.5992,280
8.2798,0.9611,106.54,1.5833,1.4613,0.598,282
8.2791,0.9586,106.99,1.5852,1.4626,0.5955,281.8
8.2796,0.9559,105.79,1.5857,1.4621,0.596,282.05
8.2794,0.954,105.79,1.5883,1.4714,0.5964,281.6
8.2794,0.9583,105.03,1.5867,1.4765,0.5985,282.6
8.2794,0.9533,104.21,1.5852,1.486,0.5903,281.38
8.279,0.9476,104.69,1.578,1.4818,0.5949,281.3
8.2793,0.9386,104.83,1.5795,1.4726,0.5953,280.7
8.2791,0.938,105.54,1.5798,1.4747,0.5925,280
8.2786,0.9393,105.63,1.5794,1.4767,0.5942,279.8
8.2791,0.9196,105.92,1.5803,1.4702,0.5926,278.4
8.2795,0.9233,106.24,1.5767,1.4736,0.5875,275.88
8.2798,0.9102,106.34,1.5759,1.4764,0.5883,277.05
8.2799,0.909,108,1.5544,1.4811,0.5834,273.55
8.2798,0.8969,108.91,1.5312,1.4915,0.5818,276.73
8.279,0.9065,109.38,1.5322,1.4912,0.583,277.25
8.2785,0.9088,109.4,1.5117,1.4934,0.5816,277.75
8.2782,0.8992,108.44,1.5028,1.488,0.578,275.95
